"id","title","vote_average","vote_count","status","release_date","revenue","runtime","adult","backdrop_path","budget","homepage","imdb_id","original_language","original_title","overview","popularity","poster_path","tagline","genres","production_companies","production_countries","spoken_languages","keywords"
"75656","Now You See Me","7.345","14726","Released","2013-05-29","351723989","116","False","/xEY0MV2jSQBz9iOJfCFvLTiPGMA.jpg","75000000","","tt1670345","en","Now You See Me","An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.","45.241","/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg","4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.","Thriller, Crime","Summit Entertainment, K/O Paper Products, SOIXAN7E QUIN5E, See Me Louisiana","United States of America","French, English","new york city, paris, france, escape, magic, bank, fbi, vault, new orleans, louisiana, investigation, heist, money, conspiracy, las vegas, magician"
"131631","The Hunger Games: Mockingjay - Part 1","6.796","14725","Released","2014-11-19","755356711","123","False","/tFlSDoWQsAZ2qjICKzfP5Yw6zM5.jpg","125000000","http://www.thehungergames.movie/","tt1951265","en","The Hunger Games: Mockingjay - Part 1","Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.","85.889","/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg","Fire burns brighter in the darkness","Science Fiction, Adventure, Thriller","Lionsgate, Color Force","Canada, United States of America","English","based on novel or book, resistance, dystopia, post-apocalyptic future, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel"
"335983","Venom","6.826","14724","Released","2018-09-28","856085151","112","False","/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg","116000000","https://www.sonypictures.com/movies/venom","tt1270797","en","Venom","Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.","48.649","/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg","The world has enough Superheroes.","Science Fiction, Action","Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions","China, United States of America","Mandarin, English, Malay","spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment"
"1124","The Prestige","8.203","14696","Released","2006-10-19","109676311","130","False","/xBDE2d6HM1aBKQRu4IT7SfPD9fs.jpg","40000000","http://wwws.warnerbros.de/theprestige/","tt0482571","en","The Prestige","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.","48.832","/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg","Are You Watching Closely?","Drama, Mystery, Science Fiction","Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy","United Kingdom, United States of America","English","dying and death, suicide, class society, magic, competition, obsession, hostility, class, diary, twist, tricks, illusion, rivalry, partner, steampunk, cruelty, hanging, jail cell, 19th century, nikola tesla, magician, tesla coil, bittersweet, secret, london, mind-blowing, depressing"
"6479","I Am Legend","7.201","14675","Released","2007-12-12","585410052","101","False","/lhVVIWKR13khBvjFz8XyZ2GM0JS.jpg","150000000","http://iamlegend.warnerbros.com","tt0480249","en","I Am Legend","Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.","59.815","/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg","The last man on Earth is not alone","Drama, Science Fiction, Thriller","Village Roadshow Pictures, Weed Road Pictures, Original Film, Warner Bros. Pictures, Heyday Films, Overbrook Entertainment","United States of America","English","new york city, saving the world, based on novel or book, dystopia, post-apocalyptic future, lost civilisation, infection, matter of life and death, alone, helplessness, loneliness, zombie, virus, pandemic, pets"
"857","Saving Private Ryan","8.209","14658","Released","1998-07-24","481840909","169","False","/bdD39MpSVhKjxarTxLSfX6baoMP.jpg","70000000","","tt0120815","en","Saving Private Ryan","As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.","59.745","/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg","The mission is a man.","Drama, History, War","Paramount, Amblin Entertainment, Mutual Film Company, DreamWorks Pictures, The Mark Gordon Company","United States of America","Czech, German, English, French","epic, army, airplane, self sacrifice, war veteran, war crimes, war ship, bravery, world war ii, normandy, france, parachute, troops, waffen ss, omaha beach, rescue mission, war memorial, cowardice, deserted town, based on true story, d-day, soldier, death, military, military operation, 1940s"
"299537","Captain Marvel","6.843","14657","Released","2019-03-06","1131416446","124","False","/w2PMyoyLU22YvrGK3smVM9fW1jj.jpg","152000000","https://www.marvel.com/movies/captain-marvel","tt4154664","en","Captain Marvel","The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.","50.399","/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg","Higher. Further. Faster.","Action, Adventure, Science Fiction","Marvel Studios","United States of America","English","superhero, based on comic, alien invasion, super power, female hero, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), woman director, hero's journey, 1990s, alien technology"
"339403","Baby Driver","7.5","14634","Released","2017-06-28","226945087","113","False","/oVD3ClJBoomSQHtnJPAlMfes8YD.jpg","34000000","http://www.babydriver-movie.com","tt3890160","en","Baby Driver","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","44.974","/rmnQ9jKW72bHu8uKlMjPIb2VLMI.jpg","All you need is one killer track.","Action, Crime","Big Talk Productions, Working Title Films","United Kingdom","English","robbery, waitress, atlanta, crime boss, romance, heist, getaway car, on the run, shootout, bank robbery, getaway driver, sign languages, armed robbery, hearing impaired"
"424","Schindler's List","8.573","14594","Released","1993-12-15","321365567","195","False","/zb6fM1CX41D9rF9hdgclu0peUmy.jpg","22000000","http://www.schindlerslist.com/","tt0108052","en","Schindler's List","The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.","65.084","/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg","Whoever saves one life, saves the world entire.","Drama, History, War","Amblin Entertainment","United States of America","German, Polish, Hebrew, English","factory, hero, based on novel or book, nazi, concentration camp, ss (nazi schutzstaffel), holocaust (shoah), world war ii, ghetto, jew persecution, kraków, poland, defense industry, auschwitz-birkenau concentration camp, biography, based on true story, industrialist, historical fiction, black and white, train, poland, weapons manufacturer, absurd"
"1892","Return of the Jedi","7.892","14591","Released","1983-05-25","572700000","132","False","/psYeKwKclG4XaIop5suj1J0Kg2C.jpg","32350000","http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi","tt0086190","en","Return of the Jedi","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.","40.104","/jQYlydvHm3kUix1f8prMucrplhm.jpg","The Empire Falls...","Adventure, Action, Science Fiction","Lucasfilm Ltd.","United States of America","English","spacecraft, sibling relationship, rebel, emperor, space battle, matter of life and death, forest, desert, space opera"
"429617","Spider-Man: Far From Home","7.447","14495","Released","2019-06-28","1131927996","129","False","/ng6SSB3JhbcpKTwbPDsRwUYK8Cq.jpg","160000000","https://www.marvel.com/movies/spider-man-far-from-home","tt6320628","en","Spider-Man: Far From Home","Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.","49.913","/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg","It’s time to step up.","Action, Adventure, Science Fiction","Marvel Studios, Pascal Pictures, Columbia Pictures","United States of America","Czech, Dutch, English, German, Italian","venice, italy, superhero, school trip, europe, based on comic, sequel, destruction, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), tower of london"
"37724","Skyfall","7.227","14466","Released","2012-10-24","1142471295","143","False","/hoQhlAskVNgLQhArnH7reWP4pUp.jpg","200000000","https://www.mgm.com/movies/skyfall","tt1074638","en","Skyfall","When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.","33.456","/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg","Think on your sins.","Action, Adventure, Thriller","Metro-Goldwyn-Mayer, Eon Productions, Danjaq, Columbia Pictures","United Kingdom, United States of America","English","spy, secret agent, sociopath, mi6, killer, art gallery, british secret service, uzi, booby trap, impersonating a police officer, macao, komodo dragon"
"49047","Gravity","7.162","14463","Released","2013-10-03","723192705","91","False","/a2n6bKD7qhCPCAEALgsAhWOAQcc.jpg","105000000","http://gravitymovie.warnerbros.com","tt1454468","en","Gravity","Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.","31.024","/kZ2nZw8D681aphje8NJi8EfbL1U.jpg","Don't Let Go","Science Fiction, Thriller, Drama","Esperanto Filmoj, Warner Bros. Pictures, Heyday Films","United Kingdom, United States of America","English","space mission, loss, space, astronaut, space station, trapped in space"
"127585","X-Men: Days of Future Past","7.5","14433","Released","2014-05-15","747862775","132","False","/6RZZNx2irPBou7JyFGwOIoioPYK.jpg","250000000","https://www.20thcenturystudios.com/movies/x-men-days-of-future-past","tt1877832","en","X-Men: Days of Future Past","The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.","60.194","/tYfijzolzgoMOtegh1Y7j2Enorg.jpg","To save the future, they must alter the past.","Action, Adventure, Science Fiction","Bad Hat Harry Productions, The Donners' Company, Simon Kinberg Productions, 20th Century Fox","United States of America","English, French, Russian, Vietnamese","1970s, mutant, time travel, based on comic, superhuman, storm, political intrigue , extinction, beast, claws, aftercreditsstinger, changing the past or future"
"333339","Ready Player One","7.6","14430","Released","2018-03-28","607274134","140","False","/dbrLfmFNFEJWv8rLnjpgCKlXWSy.jpg","175000000","http://readyplayeronemovie.com","tt1677720","en","Ready Player One","When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.","50.088","/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg","A better reality awaits.","Adventure, Action, Science Fiction","Amblin Entertainment, De Line Pictures, Warner Bros. Pictures, Farah Films & Management, Village Roadshow Pictures, Access Entertainment","United States of America","English","future, based on novel or book, video game, virtual reality, dystopia, nostalgia, love, film in film, evil corporation, quest, 1980s, 2040s, based on young adult novel, columbus, ohio"
"72190","World War Z","6.807","14409","Released","2013-06-20","531865000","116","False","/kg2FOT2Oe5PSCgs3L4vLel6B7ck.jpg","200000000","http://www.worldwarzmovie.com","tt0816711","en","World War Z","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","55.042","/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg","Remember Philly!","Action, Drama, Horror, Science Fiction, Thriller","GK Films, Paramount, Hemisphere Media Capital, 2DUX², Apparatus Productions, Latina Pictures, Skydance, Plan B Entertainment","Malta, United Kingdom, United States of America","English","philadelphia, pennsylvania, new jersey, based on novel or book, dystopia, jerusalem, israel, apocalypse, zombie, epidemic, nuclear weapons, multiple perspectives, zombie apocalypse, virus"
"640","Catch Me If You Can","7.971","14393","Released","2002-12-16","352114312","141","False","/Ag6qhzsJd3k1NKuNrG9RmhZDMh7.jpg","52000000","","tt0264464","en","Catch Me If You Can","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.","44.814","/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg","The true story of a real fake.","Drama, Crime","Parkes/MacDonald Productions, Kemp Company, Splendid Pictures","United States of America","English, French","fbi, con man, biography, based on true story, attempted jailbreak, engagement party, mislaid trust, christmas, bank fraud"
"330459","Rogue One: A Star Wars Story","7.488","14354","Released","2016-12-14","1056057273","133","False","/6t8ES1d12OzWyCGxBeDYLHoaDrT.jpg","200000000","http://www.starwars.com/films/rogue-one","tt3748528","en","Rogue One: A Star Wars Story","A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.","33.1","/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg","A Rebellion Built on Hope","Action, Adventure, Science Fiction","Lucasfilm Ltd.","United States of America","English","rebellion, spacecraft, rebel, space battle, space travel, prequel, female protagonist, space western, suicide mission, robot, spin off, space opera, alien language, against the odds, blind man"
"181808","Star Wars: The Last Jedi","6.825","14312","Released","2017-12-13","1332698830","152","False","/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg","200000000","https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi","tt2527336","en","Star Wars: The Last Jedi","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.","47.241","/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg","Darkness rises... and light to meet it","Adventure, Action, Science Fiction","Lucasfilm Ltd.","United States of America","English","bunker, space battle, defeat, failure, sequel, space opera, military operation"
